COD_ESCOLA,AFDG1,AFDG2,AFDG3,AFDG4,AFDG5,ATU_TOTAL,DSU_TOTAL,ICG_ESCOLA,NIVEL1,NIVEL2,NIVEL3,NIVEL4,NIVEL5,NIVEL6,IRD_ESCOLA,TDI_TOTAL,TAPROV,TREPROV
26000016,24.30,0.00,45.90,13.50,16.30,24.30,77.80,"Nível 3",0.00,11.20,22.20,33.30,22.20,11.10,4.20,4.10,97.30,1.40
26000024,33.30,0.00,52.10,7.30,7.30,35.00,91.70,"Nível 4",0.00,8.30,25.00,66.70,0.00,0.00,2.50,30.40,99.60,0.40
26000261,24.30,0.00,70.30,5.40,0.00,28.10,100.00,"Nível 6",0.00,24.90,6.30,37.50,25.00,6.30,2.80,44.60,80.10,3.20
26000636,25.00,0.00,46.70,10.00,18.30,34.20,81.30,"Nível 4",0.00,0.00,31.20,50.00,12.50,6.30,3.40,33.90,91.60,7.20
26000741,34.80,0.80,54.50,3.20,6.70,28.70,91.90,"Nível 6",0.00,0.00,10.80,64.90,13.50,10.80,3.00,44.60,88.10,11.90
26000792,34.10,0.00,38.60,17.00,10.30,26.20,95.80,"Nível 4",12.50,8.30,16.70,58.30,4.20,0.00,2.50,31.60,83.50,14.10
26001179,25.00,0.00,28.60,7.10,39.30,9.00,57.10,"Nível 3",0.00,0.00,64.30,35.70,0.00,0.00,3.40,11.10,81.30,18.70
26001225,27.60,3.40,60.30,0.00,8.70,25.00,92.90,"Nível 5",0.00,0.00,0.00,42.90,50.00,7.10,2.90,32.00,95.60,4.40
26001292,0.00,0.00,0.00,0.00,100.00,21.00,0.00,"Nível 4",0.00,0.00,0.00,100.00,0.00,0.00,4.20,0.00,38.10,42.90
26001594,32.00,0.00,62.00,6.00,0.00,25.40,100.00,"Nível 5",5.90,0.00,0.00,70.60,23.50,0.00,3.50,33.00,84.70,12.90
26001624,31.80,0.00,36.50,1.20,30.50,35.30,78.60,"Nível 5",7.20,0.00,0.00,57.10,28.60,7.10,3.00,19.50,87.70,4.30
26001896,44.70,0.00,55.30,0.00,0.00,24.80,100.00,"Nível 4",0.00,0.00,0.00,100.00,0.00,0.00,3.50,39.20,92.20,2.90
26001900,42.10,0.00,50.50,1.00,6.40,31.80,91.70,"Nível 6",0.00,5.60,11.10,22.20,47.20,13.90,3.80,30.80,92.80,6.10
26001942,40.60,0.00,56.30,0.00,3.10,25.60,89.50,"Nível 3",15.80,0.00,42.10,31.60,10.50,0.00,3.50,9.90,87.20,12.40
26003031,40.00,0.00,60.00,0.00,0.00,32.00,100.00,"Nível 6",0.00,66.70,8.30,25.00,0.00,0.00,3.40,65.60,90.50,0.00
